artistLabel,genreLabel,length
Amanda Kramer,['new wave'],6255.0
Amanda Lepore,['electronic music'],20065.0
Amanda Richards,"['rock music', 'folk music', 'country music', 'traditional folk music']",7101.0
Amanda Somerville,['pop music'],20093.0
Amar Ezzahi,['Algerian chaabi'],3995.0
Amba Shepherd,"['electronic dance music', 'house music']",6415.0
Amber Coffman,['indie rock'],13017.0
Ambersunshower,"['trip hop', 'rhythm and blues']",4973.0
Ambwene Allen Yessayah,"['bongo flava', 'hip-hop']",0.0
Amedeo Tommasi,"['jazz', 'soundtrack']",2987.0
Amel Brahim-Djelloul,['opera'],8059.0
Amen,['hard rock'],21232.0
Amir Derakh,['heavy metal'],10514.0
Amir Khosrow,['ghazal'],26.0
Amjad Ali Khan,['Hindustani classical music'],19493.0
Amjad Sabri,['qawwali'],15222.0
Ammo,"['pop rock', 'hip-hop', 'synth-pop', 'pop music', 'electropop', 'contemporary R&B']",110.0
Amoc,"['horrorcore', 'hip-hop']",89.0
Amon Djurhuus,"['progressive metal', 'folk metal']",25.0
Amongst the Pigeons,['electro'],4417.0
Amory Kane,['rock music'],3916.0
Amos Milburn,['rhythm and blues'],12758.0
Amp Fiddler,"['funk', 'soul']",11557.0
Amrik Singh Arora,"['devotional song', 'bhajan']",7638.0
Amund Maarud,['blues'],6800.0
Amy Kohn,['jazz'],6222.0
Amy Macdonald,"['folk rock', 'indie pop', 'soft rock']",50744.0
Amy Winehouse,"['jazz', 'reggae', 'blues', 'soul', 'rhythm and blues', 'blue-eyed soul', 'ska']",230169.0
Amédé Ardoin,['Creole music'],14342.0
An Thuyen,['nhạc đỏ'],0.0
Ana Alcaide,"['medieval music', 'world music']",5071.0
Ana Egge,"['country music', 'folk music']",9904.0
Ana Isabelle,['pop music'],3904.0
Ana Paula Valadão,"['pop rock', 'contemporary Christian music', 'contemporary worship music']",21577.0
Ana Voog,['pop rock'],19206.0
Analog Rebellion,['new wave'],10602.0
Anastasia Bardina,['jazz'],1940.0
Anastasiya Petryshak,['classical music'],13551.0
Anca Pop,['pop music'],12958.0
Anders Bagge,['pop music'],14420.0
Anders Berglund,['pop music'],4216.0
Anders Glenmark,['pop music'],6557.0
Anders Grahn,['pop music'],23197.0
Anders Göthberg,['indie pop'],2366.0
Anders Hammer,['death metal'],2309.0
Anders Hana,['jazz'],6778.0
Anders Kobro,['black metal'],2646.0
Anders Nyström,"['heavy metal', 'extreme metal']",5495.0
Anders Odden,"['death metal', 'black metal']",7349.0
Anders Remmer,['electronic music'],3079.0
Anders Wendin,['rock music'],4059.0
Anders Wollbeck,['pop music'],6521.0
Anderson .Paak,"['hip-hop', 'pop rap', 'pop music', 'funk', 'soul', 'contemporary R&B']",47415.0
Andre Barreau,['pop music'],4226.0
Andre Foxxe,['funk'],2225.0
Andre Lindal,['contemporary R&B'],9459.0
Andre Taulany,['popular music'],5134.0
Andrea del Verrocchio,"['animal art', 'religious art', 'figure', 'nude', 'portrait']",18404.0
Andreas Axelsson,['progressive metal'],1600.0
Andreas Blomqvist,['heavy metal'],3662.0
Andreas Bourani,['pop rock'],11988.0
Andreas Hedlund,"['progressive metal', 'black metal', 'folk metal']",9111.0
Andreas Kisser,['heavy metal'],29565.0
Andreas Lundstedt,['pop music'],8325.0
Andreas Skår Winther,['jazz'],3624.0
Andreas Tilliander,['electronica'],3530.0
Andreas Vollenweider,"['new age music', 'world music']",23625.0
Andrei Razin,"['disco', 'Russian pop']",43.0
Andrew Bodnar,['rock music'],6009.0
Andrew Borger,"['jazz', 'avant-garde jazz']",2529.0
Andrew Cash,['rock music'],11339.0
Andrew Chou,['pop music'],12638.0
Andrew Combs,['country music'],4856.0
Andrew D’Angelo,['jazz'],0.0
Andrew Farriss,['rock music'],17118.0
Andrew Fletcher,"['alternative rock', 'new wave']",971.0
Andrew Forbes,['classical music'],6484.0
Andrew Huang,"['ambient music', 'pop music', 'rapping', 'electronic music', 'rock music']",240.0
Andrew Innes,['alternative rock'],4082.0
Andrew McCulloch,['rock music'],607.0
Andrew McMahon,['pop music'],53558.0
Andrew Moore,['ambient music'],1326.0
Andrew Peterson,['contemporary Christian music'],795.0
Andrew Scott,['alternative rock'],2742.0
Andrew Sega,['electronica'],14362.0
Andrew Seward,"['punk rock', 'ska punk', 'hardcore punk']",258.0
Andrew Skeet,['pop music'],11929.0
Andrew Tompkins,['Christian metal'],66.0
Andrew Vowles,['pop music'],4203.0
Andrew W.K.,"['heavy metal', 'hard rock', 'pop metal', 'power pop']",79337.0
Andrew Weatherall,['electronica'],19652.0
